"","title","survived","age","pclass","sibsp","parch","family_size","child","sex","deck"
"990","Mrs","1","43","3","0","0","0","Adult","Female","B"
"354","Nobleman","1","3","2","1","1","3","Child","Male","C"
"1052","Mr","0","29","3","0","0","0","Adult","Male","D"
"841","Miss","0","22","2","0","0","0","Adult","Female","D"
"89","Mr","0","48","1","0","0","0","Adult","Male","B"
"137","Mr","0","39","1","1","0","2","Adult","Male","D"
"875","Mr","1","21","2","0","0","2","Adult","Male","R"
"585","Mr","0","21","2","0","0","0","Adult","Male","R"
"344","Mrs","0","30","2","0","1","2","Adult","Female","D"
"454","Mrs","1","24","2","1","2","4","Adult","Female","C"
"506","Mrs","0","61","2","1","0","2","Adult","Female","A"
"332","Mrs","1","39","2","1","2","3","Adult","Female","E"
"1140","Mr","0","27","3","0","0","0","Adult","Male","D"
"935","Mr","1","37","3","0","0","0","Adult","Male","B"
"231","Mrs","0","56","1","0","1","2","Adult","Female","D"
"38","Mr","0","45","1","0","1","2","Adult","Male","A"
"1099","Mr","1","30","3","0","0","0","Adult","Male","E"
"540","Miss","0","31","2","0","0","0","Adult","Female","R"
"1015","Miss","0","23","3","0","0","0","Adult","Female","D"
"1186","Mr","0","25","3","0","0","0","Adult","Male","D"
"126","Mr","1","31","1","1","0","2","Adult","Male","A"
"1075","Miss","0","24","3","0","0","0","Adult","Female","D"
"979","Mrs","0","33","3","1","2","4","Adult","Female","A"
"786","Mrs","0","37","2","1","0","2","Adult","Female","C"
"512","Mr","0","59","2","0","0","0","Adult","Male","B"
"473","Nobleman","1","16","2","1","2","4","Child","Male","R"
"957","Mr","0","21","3","0","0","0","Adult","Male","C"
"965","Nobleman","1","3","3","2","2","5","Child","Male","D"
"596","Mr","0","29","2","1","1","3","Adult","Male","D"
"382","Miss","0","34","2","0","0","0","Adult","Female","B"
"854","Nobleman","0","0.83","2","2","2","5","Child","Male","R"
"637","Miss","0","0.5","2","0","0","0","Child","Female","B"
"939","Mr","0","28","3","0","0","0","Adult","Male","B"
"709","Mr","0","30","2","0","0","0","Adult","Male","B"
"867","Mrs","1","24","2","1","1","4","Adult","Female","D"
"168","Rev","0","68","1","0","0","0","Adult","Male","D"
"626","Mr","0","35","2","1","1","3","Adult","Male","D"
"616","Mr","1","28","2","0","0","0","Adult","Male","E"
"831","Mrs","1","37","2","1","0","2","Adult","Female","B"
"254","Mr","1","38","1","0","0","0","Adult","Male","B"
"745","Mr","0","45","2","0","0","0","Adult","Male","D"
"411","Nobleman","1","1.6","2","1","0","2","Child","Male","E"
"1124","Mr","0","27","3","0","0","0","Adult","Male","B"
"21","Mr","1","27","1","0","0","0","Adult","Male","E"
"531","Mr","1","32","2","0","0","0","Adult","Male","B"
"292","Miss","0","2","2","0","0","0","Child","Female","A"
"1185","Mr","0","48","3","0","0","0","Adult","Male","B"
"657","Mrs","0","42","2","0","0","0","Adult","Female","D"
"868","Mrs","1","49","2","0","0","0","Adult","Female","B"
"1181","Mr","1","26","3","0","0","0","Adult","Male","B"
"295","Mr","1","36","2","0","0","0","Adult","Male","E"
"954","Mr","0","57","3","0","0","0","Adult","Male","B"
"453","Mrs","0","29","2","0","0","0","Adult","Female","D"
"51","Mrs","1","59","1","1","0","2","Adult","Female","B"
"358","Mr","1","43","2","0","0","0","Adult","Male","B"
"353","Miss","1","8","2","0","1","2","Child","Female","D"
"1005","Mr","0","37","3","0","0","0","Adult","Male","A"
"1053","Mr","0","34","3","0","0","0","Adult","Male","D"
"578","Miss","0","28","2","0","1","2","Adult","Female","E"
"156","Mr","0","43","1","1","1","4","Adult","Male","B"
"949","Mr","0","48","3","0","0","0","Adult","Male","B"
"728","Miss","0","34","2","0","0","0","Adult","Female","D"
"559","Miss","0","2","2","0","1","2","Child","Female","B"
"68","Miss","0","12","1","5","2","8","Child","Female","D"
"167","Mr","1","38","1","0","0","0","Adult","Male","B"
"207","Mrs","0","52","1","1","0","4","Adult","Female","B"
"997","Mrs","1","27","3","1","0","2","Adult","Female","A"
"439","Mr","1","19","2","0","0","0","Adult","Male","D"
"599","Miss","1","16","2","0","1","2","Child","Female","D"
"992","Miss","0","34","3","0","0","0","Adult","Female","A"
"201","Miss","1","0.2","1","3","2","8","Child","Female","E"
"475","Mr","0","51","2","0","0","0","Adult","Male","D"
"197","Mr","0","63","1","0","1","2","Adult","Male","B"
"221","Mr","1","36","1","0","0","0","Adult","Male","B"
"253","Mr","0","38","1","0","0","0","Adult","Male","E"
"1265","Mr","0","27","3","0","0","0","Adult","Male","E"
"374","Mrs","0","40","2","0","0","0","Adult","Female","A"
"7","Miss","0","16","1","1","1","5","Child","Female","B"
"612","Mrs","0","49","2","4","2","7","Adult","Female","B"
"1068","Miss","1","26","3","0","0","0","Adult","Female","D"
"538","Mr","0","36","2","1","0","2","Adult","Male","B"
"909","Mr","0","39","3","0","0","9","Adult","Male","D"
"40","Mr","1","37","1","0","0","0","Adult","Male","C"
"1136","Miss","1","25","3","0","0","0","Adult","Female","E"
"1072","Miss","1","30","3","0","0","0","Adult","Female","B"
"776","Mr","0","56","2","2","2","7","Adult","Male","D"
"843","Miss","0","35","2","0","0","0","Adult","Female","D"
"71","Mr","1","35","1","0","0","0","Adult","Male","D"
"302","Miss","1","16","2","1","1","4","Child","Female","E"
"121","Mr","0","55","1","0","0","0","Adult","Male","E"
"981","Mr","1","41","3","0","0","0","Adult","Male","E"
