title,survived,age,pclass,sibsp,parch,family_size,child,sex,deck
Mr,1,46,1,0,0,0,Adult,Male,D
Mr,0,34,1,0,0,0,Adult,Male,A
Mrs,0,NA,1,0,0,0,Adult,Female,A
Mr,0,27,1,0,0,0,Adult,Male,B
Miss,1,23,1,0,1,2,Adult,Female,D
Mrs,0,56,1,0,1,2,Adult,Female,D
Mr,0,43,1,0,0,2,Adult,Male,B
Mr,0,51,1,0,0,0,Adult,Male,A
Mr,1,44,1,0,0,0,Adult,Male,A
Military,0,29,1,0,0,0,Adult,Male,B
Mr,0,20,1,0,0,0,Adult,Male,B
Miss,0,38,1,0,0,0,Adult,Female,B
Mr,0,45,1,0,0,0,Adult,Male,D
Mrs,0,44,1,0,0,0,Adult,Female,D
Mrs,0,36,1,0,0,0,Adult,Female,B
Mr,0,26,1,0,0,0,Adult,Male,D
Mr,1,41,1,0,0,2,Adult,Male,E
Mr,1,26,1,0,0,2,Adult,Male,B
Mrs,1,39,1,0,0,0,Adult,Female,B
Mr,0,44,1,0,0,2,Adult,Male,B
Military,0,41,1,0,0,0,Adult,Male,A
Mr,0,36,1,0,0,2,Adult,Male,B
Nobleman,0,1.5,1,0,0,4,Child,Male,D
Mrs,0,64,1,0,0,4,Adult,Female,D
Mr,0,52,1,0,0,0,Adult,Male,B
Mr,0,43,1,0,0,0,Adult,Male,B
Mr,0,39,1,0,0,0,Adult,Male,E
Mr,0,NA,1,0,0,0,Adult,Male,E
Mr,1,38,1,0,0,0,Adult,Male,B
Mr,1,31,1,0,0,0,Adult,Male,B
Mr,0,49,1,0,0,0,Adult,Male,D
Mrs,0,60,1,0,0,0,Adult,Female,D
Mr,1,59,1,0,0,0,Adult,Male,B
Mr,0,32,1,0,0,0,Adult,Male,B
Mrs,1,32,1,0,0,0,Adult,Female,B
Mr,0,32,1,0,0,0,Adult,Male,D
Mr,1,51,1,0,0,0,Adult,Male,A
Mr,1,39,1,0,0,0,Adult,Male,B
Mr,1,56,1,0,0,0,Adult,Male,D
Mr,0,38,1,0,0,0,Adult,Male,B
Mr,1,34,1,0,0,0,Adult,Male,B
Mr,1,45,1,0,0,0,Adult,Male,B
Mr,0,49,1,0,0,0,Adult,Male,B
Mr,0,37,1,0,0,3,Adult,Male,B
Mr,1,44,1,0,0,0,Adult,Male,B
Mr,0,45,1,0,0,0,Adult,Male,E
Miss,0,36,1,0,0,3,Adult,Female,B
Mrs,1,NA,1,0,0,0,Adult,Female,NA
Mr,0,32,1,0,0,3,Adult,Male,D
Miss,1,30,1,0,0,5,Adult,Female,B
Mrs,0,49,1,0,0,0,Adult,Female,D
Mrs,0,52,1,0,0,0,Adult,Female,E
Mrs,0,57,1,0,0,0,Adult,Female,B
Mr,0,32,1,0,0,0,Adult,Male,B
Mr,0,40,1,0,0,2,Adult,Male,B
Mr,0,28,1,0,0,0,Adult,Male,NA
