survived,pclass,sex,age,sibsp,parch,title,deck,family_size,child
1,1,0,34,0,0,Mr,B,0,adult
0,1,0,34,0,0,Mr,A,0,adult
1,2,0,26,0,0,Mr,T,2,adult
0,2,0,21,0,0,Mr,B,0,adult
0,2,0,38,0,0,Mr,B,0,adult
1,1,1,50,1,0,Mrs,B,2,adult
1,2,1,65,0,0,Mrs,C,0,adult
0,3,1,37,1,0,Mrs,B,2,adult
0,2,1,27,0,1,Mrs,T,2,adult
0,2,1,24,1,5,Mrs,D,5,adult
1,3,0,24,0,0,Mr,B,0,adult
0,2,1,26,1,0,Mrs,D,2,adult
0,2,0,51,1,0,Mr,C,2,adult
1,1,0,51,0,0,Nobleman,A,0,adult
0,3,0,23,0,0,Mr,D,0,adult
1,2,1,27,1,0,Mrs,D,2,adult
1,2,1,6,3,2,Miss,D,7,child
0,2,1,62,1,0,Mrs,B,6,adult
0,3,1,10,0,1,Miss,B,3,child
0,3,0,23,0,0,Mr,B,0,adult
0,1,1,57,1,0,Miss,B,2,adult
1,1,0,29,0,0,Mr,A,0,adult
0,2,0,35,1,1,Mr,D,3,adult
0,3,0,23,0,0,Mr,B,0,adult
0,1,1,20,0,1,Miss,B,3,adult
0,3,0,30,0,0,Mr,E,0,adult
1,2,1,11,0,1,Miss,D,2,child
1,3,1,33,0,0,Miss,B,0,adult
0,2,1,56,1,0,Mrs,E,2,adult
0,1,0,43,1,0,Mr,B,2,adult
1,1,1,29,1,0,Mrs,B,2,adult
0,2,1,28,0,0,Mrs,B,0,adult
1,2,0,32,0,0,Rev,A,0,adult
0,3,0,21,0,0,Mr,B,0,adult
0,1,1,1.5,3,2,Miss,E,8,child
0,2,0,38,1,2,Mr,A,4,adult
1,2,0,27,0,0,Mr,C,0,adult
0,3,1,54,0,0,Mrs,A,0,adult
0,2,0,26,1,0,Mr,T,2,adult
0,2,0,18,0,2,Mr,D,3,adult
1,2,1,36,0,0,Miss,B,0,adult
1,1,0,42,1,0,Mr,D,2,adult
0,2,1,13,0,0,Miss,D,0,child
1,2,1,37,0,0,Miss,C,2,adult
1,2,0,28,1,0,Mr,B,2,adult
1,1,0,39,0,0,Mr,B,0,adult
0,2,0,47,1,0,Mr,A,2,adult
1,1,0,42,0,0,Dr,B,0,adult
0,1,0,41,0,0,Mr,E,0,adult
0,2,1,37,0,0,Miss,E,0,adult
1,1,1,23,0,1,Miss,D,2,adult
0,1,0,14,5,2,Nobleman,D,8,child
0,1,0,1.5,0,0,Nobleman,D,4,child
0,3,0,0.3,5,1,Nobleman,D,7,child
0,3,1,40,1,1,Mrs,C,3,adult
1,2,1,23,0,0,Miss,D,0,adult
0,3,1,24,0,0,Miss,B,0,adult
0,3,0,4,2,2,Nobleman,D,5,child
0,2,0,36,1,0,Mr,E,2,adult
1,2,0,37,0,0,Rev,C,0,adult
1,3,0,38,0,0,Mr,B,0,adult
0,3,0,32,0,0,Mr,B,0,adult
1,2,0,31,0,0,Mr,B,0,adult
0,2,0,35,0,0,Mr,E,0,adult
0,2,1,36,0,0,Miss,E,0,adult
1,3,0,36,0,0,Mr,D,0,adult
1,2,0,35,0,0,Mr,D,0,adult
1,1,1,48,0,0,Miss,D,3,adult
0,3,1,25,0,1,Mrs,B,2,adult
1,3,1,29,0,0,Miss,D,0,adult
0,1,1,53,0,0,Mrs,E,2,adult
1,3,1,29,1,2,Mrs,B,4,adult
1,1,1,30,0,0,Miss,B,5,adult
0,3,0,37,0,0,Mr,B,0,adult
1,3,0,23,0,0,Mr,B,0,adult
0,3,0,26,0,0,Mr,E,0,adult
0,1,1,28,1,0,Mrs,B,3,adult
0,3,0,26,0,0,Mr,B,0,adult
1,2,1,51,0,1,Miss,C,2,adult
0,2,0,28,0,0,Mr,B,0,adult
0,2,0,30,0,0,Mr,D,0,adult
0,3,1,26,0,1,Mrs,D,3,adult
0,2,0,4,1,1,Nobleman,E,3,child
0,3,0,26,0,0,Mr,A,0,adult
0,2,1,22,1,0,Miss,C,2,adult
1,2,0,26,0,0,Dr,A,0,adult
0,1,0,44,0,0,Mr,B,0,adult
1,2,1,31,1,1,Mrs,D,3,adult
1,1,0,44,0,0,Mr,B,0,adult
0,2,1,9,1,2,Miss,B,5,child
1,3,0,32,0,0,Mr,D,9,adult
